Date,Product,Units_Sold,Price_Per_Unit,Total_Revenue,Region
2025-05-19,Widget A,33,33.99,1121.67,East
2025-05-19,Widget B,11,78.66,865.26,North
2025-05-19,Gadget X,37,86.94,3216.78,East
2025-05-19,Tool Pro,13,58.14,755.82,West
2025-05-19,Device Z,23,33.66,774.18,West
2025-05-20,Widget A,39,23.31,909.09,North
2025-05-20,Widget B,46,49.63,2282.98,South
2025-05-20,Gadget X,8,87.55,700.4,South
2025-05-20,Tool Pro,40,72.07,2882.8,East
2025-05-20,Device Z,6,68.4,410.4,East
2025-05-21,Widget A,46,63.45,2918.7,West
2025-05-21,Widget B,18,75.56,1360.08,West
2025-05-21,Gadget X,29,76.83,2228.07,South
2025-05-21,Tool Pro,19,65.69,1248.11,West
2025-05-21,Device Z,46,44.32,2038.72,North
2025-05-22,Widget A,24,30.04,720.96,East
2025-05-22,Widget B,5,52.93,264.65,South
2025-05-22,Gadget X,38,16.26,617.88,South
2025-05-22,Tool Pro,33,38.47,1269.51,South
2025-05-22,Device Z,46,76.48,3518.08,West
2025-05-23,Widget A,39,80.54,3141.06,East
2025-05-23,Widget B,50,73.97,3698.5,South
2025-05-23,Gadget X,10,52.3,523.0,West
2025-05-23,Tool Pro,45,24.04,1081.8,East
2025-05-23,Device Z,32,52.98,1695.36,East
2025-05-24,Widget A,30,41.15,1234.5,West
2025-05-24,Widget B,25,35.63,890.75,East
2025-05-24,Gadget X,47,30.06,1412.82,West
2025-05-24,Tool Pro,42,57.53,2416.26,West
2025-05-24,Device Z,26,43.23,1123.98,West
2025-05-25,Widget A,45,60.91,2740.95,West
2025-05-25,Widget B,21,20.36,427.56,East
2025-05-25,Gadget X,41,23.27,954.07,South
2025-05-25,Tool Pro,16,20.16,322.56,South
2025-05-25,Device Z,21,77.66,1630.86,South
