Date,Product,Units_Sold,Price_Per_Unit,Total_Revenue,Region
2025-05-17,Widget A,41,81.41,3337.81,East
2025-05-17,Widget B,19,32.66,620.54,North
2025-05-17,Gadget X,20,42.42,848.4,West
2025-05-17,Tool Pro,16,32.11,513.76,East
2025-05-17,Device Z,13,30.13,391.69,East
2025-05-18,Widget A,29,15.6,452.4,East
2025-05-18,Widget B,48,49.1,2356.8,West
2025-05-18,Gadget X,26,18.61,483.86,North
2025-05-18,Tool Pro,14,43.57,609.98,North
2025-05-18,Device Z,23,15.2,349.6,East
2025-05-19,Widget A,26,15.17,394.42,North
2025-05-19,Widget B,16,98.01,1568.16,North
2025-05-19,Gadget X,24,73.47,1763.28,East
2025-05-19,Tool Pro,22,62.39,1372.58,North
2025-05-19,Device Z,45,53.09,2389.05,West
2025-05-20,Widget A,34,71.88,2443.92,North
2025-05-20,Widget B,15,96.05,1440.75,South
2025-05-20,Gadget X,40,44.97,1798.8,North
2025-05-20,Tool Pro,39,61.33,2391.87,South
2025-05-20,Device Z,34,13.82,469.88,West
2025-05-21,Widget A,35,47.19,1651.65,South
2025-05-21,Widget B,30,92.8,2784.0,West
2025-05-21,Gadget X,8,86.44,691.52,East
2025-05-21,Tool Pro,9,53.91,485.19,East
2025-05-21,Device Z,10,97.38,973.8,West
2025-05-22,Widget A,27,75.43,2036.61,North
2025-05-22,Widget B,32,87.35,2795.2,South
2025-05-22,Gadget X,38,18.72,711.36,East
2025-05-22,Tool Pro,34,64.99,2209.66,West
2025-05-22,Device Z,9,73.81,664.29,North
2025-05-23,Widget A,31,85.28,2643.68,North
2025-05-23,Widget B,26,73.59,1913.34,North
2025-05-23,Gadget X,15,79.46,1191.9,West
2025-05-23,Tool Pro,30,12.42,372.6,South
2025-05-23,Device Z,32,53.68,1717.76,North
